C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
50900001,Customer#050900001,ngyfBTfOHUVFb6 ODIyjTdOZ0RG,22,32-681-266-7532,1752.41,MACHINERY,"among the furiously ironic theodolites. final, final ideas are. blithel"
50900002,Customer#050900002,"pgZKEi ,5QBsgTTz",9,19-897-182-2429,3656.39,MACHINERY,nts. furiously final requests sleep furiously pending requests. furiously ironic requests are. blithely fi
50900003,Customer#050900003,Z lfna2uGXi98sWDc,22,32-392-111-5726,4981.24,FURNITURE,riously regular instructions. theodolites sleep furi
50900004,Customer#050900004,riDB6qSUtaJr17OiKj9UVhAu,17,27-720-612-1014,7765.61,AUTOMOBILE,xpress sheaves lose furiously according to the bold
50900005,Customer#050900005,JsQsScv6oQyNCfcfh3q,18,28-634-510-9366,-405.11,HOUSEHOLD,dugouts serve carefully. slyly ruthless pinto beans are. carefully ironic excuses above the
50900006,Customer#050900006,bKJ OVkzIN6L6oo4zXky,5,15-835-401-1601,9296.78,FURNITURE,ully. slyly final requests boost slowly. instructions affix along t
50900007,Customer#050900007,1U7x8N3cvNLzPnsa9nGOQ7Aa0,16,26-984-764-6592,5037.27,AUTOMOBILE,ironic ideas. quickly regular asymptotes sleep quickly; unusual pinto beans de
50900008,Customer#050900008,"ynpSlibMB6eJ7XJyWUfJkU,Qig",13,23-944-214-9888,3426.20,HOUSEHOLD,depths boost slyly carefully final instructions. bold accounts haggle after the ironic theodo
50900009,Customer#050900009,RKoqXg3VoQH5EPvwwh,1,11-904-377-1572,8070.36,HOUSEHOLD,sly foxes sleep furiously after the platelets. carefully express accounts haggle carefully whitho
50900010,Customer#050900010,"nO V0joCmmRcq,cYcvUvk",0,10-545-978-5484,6566.94,MACHINERY,pendencies. slyly unusual dolphins detect blithely alongside of the slowly special packag
50900011,Customer#050900011,7WDbl8gSCznCDuUmTQWr8cs2,12,22-503-512-7129,5538.21,AUTOMOBILE,sts. excuses haggle busily fluffily even requests. quickly bold dolphins
50900012,Customer#050900012,QSOJKDq7TIUlu,1,11-253-409-6873,7755.40,HOUSEHOLD,t slyly. regular foxes against the slyly pending excuses are furiously ironic instructions. regular accounts boost
50900013,Customer#050900013,kZnq50ZFdhJe,17,27-876-281-4910,3994.93,HOUSEHOLD,arefully according to the asymptotes. even requests sleep blit
50900014,Customer#050900014,q82JNj5GMm1HVDe3iUbr03KK,10,20-878-228-3245,7722.33,MACHINERY,oost furiously. even pinto beans was carefully. fluffi
